,Unnamed: 0,Subject,Start,End,Location,Start Date,Start Time
15,15,[EXT]Kevin Zhang '19 (McKinsey) meeting with Jo Tyburski ,2020-01-24 07:00:00,2020-01-24 07:30:00,"150 East 52nd Street, 26th Floor (between Lexington and 3rd Ave)",2020-01-24,07:00:00
16,16,CALL:  Intro chat - Kevin and Michael,2020-01-24 08:00:00,2020-01-24 08:15:00,Michael to call Kevin +1 646-662-8035 ,2020-01-24,08:00:00
17,17,Kevin x Jason | timesheets,2020-01-29 07:00:00,2020-01-29 07:30:00,3WTC 63rd Floor Commons,2020-01-29,07:00:00
18,18,"Canceled: Canceled: Study Update (Kevin, Ravi)",2020-01-30 14:00:00,2020-01-30 14:30:00,Kevin to call Ravi's Cell  +1 917 432 9337 ,2020-01-30,14:00:00
19,19,CALL:   Intro call - Kevin and Joel,2020-01-31 07:30:00,2020-01-31 07:45:00,Joel to call Kevin +1 646-662-8035 ,2020-01-31,07:30:00
20,20,BBBS Informational Interviews & Networking,2020-01-31 10:30:00,2020-01-31 12:30:00,61-N207,2020-01-31,10:30:00
21,21,[AAM x NYO] Volunteer to assemble care packages for CPC's elderly housing community!,2020-01-31 11:00:00,2020-01-31 12:30:00,NYO 62N206 ,2020-01-31,11:00:00
22,22,Bot DD Team room --> 61-S210 & S114 - Please clean after yourself,2020-02-03 00:00:00,2020-02-04 00:00:00,,2020-02-03,00:00:00
23,23,Team room --> NYO 60-N113 & N114,2020-02-03 00:00:00,2020-02-04 00:00:00,,2020-02-03,00:00:00
24,24,Bot DD Team room --> 61-S210 & S114 - Please clean after yourself,2020-02-04 00:00:00,2020-02-05 00:00:00,,2020-02-04,00:00:00
25,25,[Whistler] PS w/ Amir,2020-02-04 08:00:00,2020-02-04 09:00:00,61-N115,2020-02-04,08:00:00
26,26,Project Singularity - McK DD for GS - First read-out,2020-02-05 14:00:00,2020-02-05 15:30:00,"McK dial-in +1-212-798-0808 PIN 02938164 || US +1-212-798-0808,,02938164#  ; VoIP: 400-0808 PC: 02938164 ||",2020-02-05,14:00:00
27,27,CALL: S&CF Practice (w/ Rebecca Doherty & Kevin Zhang),2020-02-06 16:15:00,2020-02-06 16:30:00,Rebecca to call Kevin at Mobile +1 646-662-8035,2020-02-06,16:15:00
28,28,Kent and Kevin checkin,2020-02-07 07:30:00,2020-02-07 08:00:00,Kevin to call Kent ,2020-02-07,07:30:00
29,29,[Whistler] PS w/ Vaibhav & Marc,2020-02-11 09:00:00,2020-02-11 10:00:00,"NYO 61-E112 +  US +1-212-798-0808,,48727157#  ; VoIP: 400-0808 PC: 4872-7157 ||",2020-02-11,09:00:00
30,30,Bot DD team room AFTER 12PM - 60-N117,2020-02-12 00:00:00,2020-02-13 00:00:00,,2020-02-12,00:00:00
31,31,Project Singularity - McK DD for GS - To connect with ClearSky team,2020-02-12 07:00:00,2020-02-12 09:00:00,"McK dial-in +1-212-798-0808 PIN 02938164 || US +1-212-798-0808,,02938164#  ; VoIP: 400-0808 PC: 02938164 ||",2020-02-12,07:00:00
32,32,Project Singularity - McK DD for GS - Final read-out,2020-02-13 06:30:00,2020-02-13 08:00:00,"McK dial-in +1-212-798-0808 PIN 02938164 || US +1-212-798-0808,,02938164#  ; VoIP: 400-0808 PC: 02938164 ||",2020-02-13,06:30:00
33,33,Project Singularity - McK DD for GS - Follow-up Discussion,2020-02-14 06:30:00,2020-02-14 07:00:00,"US +1-212-798-0808,,48727157#",2020-02-14,06:30:00
34,34,"CALL (Kevin, Ravi)",2020-02-14 12:15:00,2020-02-14 12:45:00,Ravi to call Kevin +1 646 662 8035,2020-02-14,12:15:00
35,35,"PD Chat [Kevin, Caitlin]",2020-02-18 12:30:00,2020-02-18 13:00:00,NYO 60 E110,2020-02-18,12:30:00
36,36,PSS on Survey Questions,2020-02-20 09:30:00,2020-02-20 10:30:00,https://mckinsey.zoom.us/j/962501037,2020-02-20,09:30:00
37,37,SCM SW discussion,2020-02-20 12:45:00,2020-02-20 13:00:00,Neil to Call Kevin at 646 662 8035,2020-02-20,12:45:00
38,38,PSS on Survey Questions,2020-02-21 08:20:00,2020-02-21 09:00:00,https://mckinsey.zoom.us/j/962501037,2020-02-21,08:20:00
39,39,[AAM] Q&A with Vimeo CEO Anjali Sud,2020-02-21 12:30:00,2020-02-21 13:30:00,"NYO 61N206 || https://vcnow.mckinsey.com/71160740348 ; US +1-212-798-0808,,60740348#  ; VoIP: 400-0808 PC: 60740348 ||",2020-02-21,12:30:00
40,40,Call: Catch-Up [Kevin Zhang/Mohit Khanna],2020-02-21 14:00:00,2020-02-21 14:15:00,Mohit to call Kevin +1 646 662 8035,2020-02-21,14:00:00
41,41,Bob / Kevin re FXI Analysis,2020-02-25 06:00:00,2020-02-25 06:30:00,NYO 60-N121,2020-02-25,06:00:00
42,42,Call: McK / FXI - Commercial Analysis,2020-02-25 10:30:00,2020-02-25 11:00:00,"US +1-212-798-0808,,56587973# || VoIP: 400-0808 PC: 56587973",2020-02-25,10:30:00
43,43,[EXT]RE: Account Analysis,2020-02-26 09:30:00,2020-02-26 10:00:00,"|| US +1-212-798-0808,,56587973#  ; VoIP: 400-0808 PC: 56587973 ||",2020-02-26,09:30:00
44,44,Bob/Kevin PS,2020-02-28 05:15:00,2020-02-28 06:00:00,60-N121,2020-02-28,05:15:00
45,45,TMT L1 WebEx #2: Introduction to Consumer Tech Media GSL - Americas,2020-02-28 11:00:00,2020-02-28 12:00:00,see below for WebEx and dial in details ,2020-02-28,11:00:00
46,46,2019 NYO BA Class Meeting (3:30-4:30pm) & Happy Hour (4:30-6:30pm) ,2020-02-28 12:30:00,2020-02-28 15:30:00,"NYO-61-N207-Convergence Center  || US +1-212-798-0808,,38876538#  ; VoIP: 400-0808 PC: 38876538 ||",2020-02-28,12:30:00
47,47,[Confirmed] BA Connectivity Game Night,2020-02-29 16:00:00,2020-02-29 20:00:00,515 West 52nd Street (tell doorman you are going to resident lounge),2020-02-29,16:00:00
48,48,Overlapping Account Analysis,2020-03-02 11:00:00,2020-03-02 11:45:00,"877.931.6873,,7039923# (Harold Leader) ",2020-03-02,11:00:00
49,49,Kevin/Caitlin connect,2020-03-02 12:00:00,2020-03-02 12:30:00,NYO 60 E110,2020-03-02,12:00:00
50,50,2020 survey catch up,2020-03-02 13:45:00,2020-03-02 14:00:00,"|| US +1-212-798-0808,,38601219#  ; VoIP: 400-0808 PC: 38601219 ||",2020-03-02,13:45:00
51,51,Del / McK re Commercial,2020-03-03 04:30:00,2020-03-03 05:30:00,"|| US +1-212-798-0808,,56587973#  ; VoIP: 400-0808 PC: 56587973 ||",2020-03-03,04:30:00
52,52,Project Crunch check in,2020-03-03 06:00:00,2020-03-03 06:30:00,"NYO OR  || US +1-212-798-0808,,16680797#  ; VoIP: 400-0808 PC: 1668-0797 ||",2020-03-03,06:00:00
53,53,Project Crunch check in,2020-03-04 06:00:00,2020-03-04 06:30:00,"NYO OR  || US +1-212-798-0808,,16680797#  ; VoIP: 400-0808 PC: 1668-0797 ||",2020-03-04,06:00:00
54,54,Project Crunch check in,2020-03-05 06:00:00,2020-03-05 06:30:00,"NYO OR  || US +1-212-798-0808,,16680797#  ; VoIP: 400-0808 PC: 1668-0797 ||",2020-03-05,06:00:00
55,55,Kevin <> Matt,2020-03-06 08:30:00,2020-03-06 09:30:00,,2020-03-06,08:30:00
56,56,Sheye Aliu's Zoom Meeting,2020-03-09 16:45:00,2020-03-09 17:00:00,https://mckinsey.zoom.us/j/332170772,2020-03-09,16:45:00
57,57,Project Crunch check in,2020-03-10 06:00:00,2020-03-10 06:30:00,"NYO OR  || US +1-212-798-0808,,16680797#  ; VoIP: 400-0808 PC: 1668-0797 ||",2020-03-10,06:00:00
58,58,Project Crunch check in,2020-03-11 06:00:00,2020-03-11 06:30:00,"NYO OR  || US +1-212-798-0808,,16680797#  ; VoIP: 400-0808 PC: 1668-0797 ||",2020-03-11,06:00:00
59,59,"Project Crunch PSS (Anna, Kandarp, OPT: Ryan)",2020-03-12 08:00:00,2020-03-12 09:00:00,https://mckinsey.zoom.us/j/386976155,2020-03-12,08:00:00
60,60,Project Crunch PSS,2020-03-13 10:45:00,2020-03-13 11:30:00,https://mckinsey.zoom.us/j/365864789,2020-03-13,10:45:00
61,61,White space problem solving,2020-03-13 12:15:00,2020-03-13 12:45:00,"|| US +1-212-798-0808,,16680797#  ; VoIP: 400-0808 PC: 1668-0797 ||",2020-03-13,12:15:00
62,62,Canceled: Canceled: NYO Activity Fair Happy Hour,2020-03-13 13:00:00,2020-03-13 16:00:00,Marvin's (NYO - 60th  Floor),2020-03-13,13:00:00
63,63,[WEP] Check-in,2020-03-16 05:45:00,2020-03-16 06:00:00,https://mckinsey.zoom.us/j/910746074,2020-03-16,05:45:00
64,64,[WEP] Mid-day touch-point,2020-03-16 09:30:00,2020-03-16 09:45:00,https://mckinsey.zoom.us/j/315583909,2020-03-16,09:30:00
65,65,[WEP] Agriculture and Water review,2020-03-16 10:45:00,2020-03-16 11:15:00,https://mckinsey.zoom.us/j/710299003,2020-03-16,10:45:00
66,66,[WEP] PSS / Kickoff,2020-03-16 11:30:00,2020-03-16 12:00:00,NYO-TBD || https://mckinsey.zoom.us/j/298002815,2020-03-16,11:30:00
67,67,[WEP] Check-out,2020-03-16 15:00:00,2020-03-16 15:30:00,https://mckinsey.zoom.us/j/512767686,2020-03-16,15:00:00
68,68,[WEP] Check-in,2020-03-17 05:45:00,2020-03-17 06:00:00,https://mckinsey.zoom.us/j/910746074,2020-03-17,05:45:00
69,69,[WEP] Mid-day touch-point,2020-03-17 09:30:00,2020-03-17 09:45:00,https://mckinsey.zoom.us/j/315583909,2020-03-17,09:30:00
70,70,[WEP] TelCo data and driver pages check-in,2020-03-17 10:00:00,2020-03-17 10:30:00,https://mckinsey.zoom.us/j/886543062,2020-03-17,10:00:00
71,71,[WEP] PSS,2020-03-17 12:00:00,2020-03-17 12:30:00,https://mckinsey.zoom.us/j/492887798,2020-03-17,12:00:00
72,72,Canceled: [WEP] Touch-point,2020-03-17 12:30:00,2020-03-17 13:00:00,,2020-03-17,12:30:00
73,73,[WEP] Check-out,2020-03-17 15:00:00,2020-03-17 15:30:00,https://mckinsey.zoom.us/j/512767686,2020-03-17,15:00:00
74,74,[WEP] Check-in,2020-03-18 05:45:00,2020-03-18 06:00:00,https://mckinsey.zoom.us/j/910746074,2020-03-18,05:45:00
75,75,[WEP] Mid-day touch-point,2020-03-18 09:30:00,2020-03-18 09:45:00,https://mckinsey.zoom.us/j/315583909,2020-03-18,09:30:00
76,76,"Feedback (Kevin, Kylie)",2020-03-18 12:00:00,2020-03-18 12:30:00,Kevin to call Kylie mobile +1 404 406 9935,2020-03-18,12:00:00
77,77,[WEP] Afternoon Check-point,2020-03-18 13:00:00,2020-03-18 13:30:00,https://mckinsey.zoom.us/j/193395080,2020-03-18,13:00:00
78,78,[WEP] Check-out,2020-03-18 15:00:00,2020-03-18 15:30:00,https://mckinsey.zoom.us/j/512767686,2020-03-18,15:00:00
79,79,[WEP] Check-in,2020-03-19 05:45:00,2020-03-19 06:00:00,https://mckinsey.zoom.us/j/910746074,2020-03-19,05:45:00
80,80,[WEP] Mid-day touch-point,2020-03-19 09:30:00,2020-03-19 09:45:00,https://mckinsey.zoom.us/j/315583909,2020-03-19,09:30:00
81,81,[WEP] PSS / touch point,2020-03-19 11:00:00,2020-03-19 11:30:00,https://mckinsey.zoom.us/j/408010461,2020-03-19,11:00:00
82,82,Canceled: [WEP] Afternoon Check-point,2020-03-19 13:30:00,2020-03-19 14:00:00,https://mckinsey.zoom.us/j/193395080,2020-03-19,13:30:00
83,83,[WEP] Check-out,2020-03-19 15:00:00,2020-03-19 15:30:00,https://mckinsey.zoom.us/j/512767686,2020-03-19,15:00:00
84,84,[WEP] Telco touch point,2020-03-19 17:30:00,2020-03-19 18:00:00,https://mckinsey.zoom.us/j/939154986,2020-03-19,17:30:00
85,85,[WEP] Check-in,2020-03-20 05:45:00,2020-03-20 06:00:00,https://mckinsey.zoom.us/j/910746074,2020-03-20,05:45:00
86,86,2019 NYO BA - Virtual Breakfast,2020-03-20 06:00:00,2020-03-20 07:00:00,https://mckinsey.zoom.us/j/234212499,2020-03-20,06:00:00
87,87,TBR: [AAM] Small group breakfast with Joy Chen,2020-03-20 06:00:00,2020-03-20 07:00:00,NYO-61-N204,2020-03-20,06:00:00
88,88,[WEP] Mid-day touch-point,2020-03-20 09:30:00,2020-03-20 09:45:00,https://mckinsey.zoom.us/j/315583909,2020-03-20,09:30:00
89,89,Feedback,2020-03-20 12:30:00,2020-03-20 13:00:00,https://mckinsey.zoom.us/j/937553692,2020-03-20,12:30:00
90,90,[WEP] Afternoon Check-point,2020-03-20 13:00:00,2020-03-20 13:30:00,https://mckinsey.zoom.us/j/193395080,2020-03-20,13:00:00
91,91,[WEP] Check-out,2020-03-20 15:00:00,2020-03-20 15:30:00,https://mckinsey.zoom.us/j/512767686,2020-03-20,15:00:00
92,92,Virtual happy hour!,2020-03-20 15:15:00,2020-03-20 17:15:00,"https://mckinsey.zoom.us/j/997348648 |  +16465189805,,997348648# ",2020-03-20,15:15:00
93,93,[WEP] Check-in,2020-03-23 05:45:00,2020-03-23 06:00:00,https://mckinsey.zoom.us/j/910746074,2020-03-23,05:45:00
94,94,[WEP] Mid-day touch-point,2020-03-23 09:30:00,2020-03-23 09:45:00,https://mckinsey.zoom.us/j/315583909,2020-03-23,09:30:00
95,95,Canceled: [WEP] PSS / transportation and gaps,2020-03-23 11:30:00,2020-03-23 12:00:00,,2020-03-23,11:30:00
96,96,[WEP] Break!!,2020-03-23 13:00:00,2020-03-23 13:15:00,https://mckinsey.zoom.us/j/122588856,2020-03-23,13:00:00
97,97,[WEP] Afternoon Check-point,2020-03-23 13:00:00,2020-03-23 13:30:00,https://mckinsey.zoom.us/j/193395080,2020-03-23,13:00:00
98,98,Caitlin/ Kevin Connect,2020-03-23 13:30:00,2020-03-23 14:00:00,Caitlin to call Kevin +1 646 662 8035 ,2020-03-23,13:30:00
99,99,[WEP] Check-out,2020-03-23 15:00:00,2020-03-23 15:30:00,https://mckinsey.zoom.us/j/512767686,2020-03-23,15:00:00
100,100,[WEP] Check-in,2020-03-24 05:45:00,2020-03-24 06:00:00,https://mckinsey.zoom.us/j/910746074,2020-03-24,05:45:00
101,101,PVH staffing chat Kevin/ Emma,2020-03-24 08:30:00,2020-03-24 08:45:00,Kevin to call Emma M: +1 973 870 8125 ,2020-03-24,08:30:00
102,102,[WEP] Mid-day touch-point,2020-03-24 09:30:00,2020-03-24 09:45:00,https://mckinsey.zoom.us/j/315583909,2020-03-24,09:30:00
103,103,[WEP] Afternoon check point / identify experts to syndicate with,2020-03-24 13:00:00,2020-03-24 13:30:00,https://mckinsey.zoom.us/j/193395080,2020-03-24,13:00:00
104,104,[WEP] Check-out,2020-03-24 15:00:00,2020-03-24 15:30:00,https://mckinsey.zoom.us/j/512767686,2020-03-24,15:00:00
105,105,[WEP] Check-in,2020-03-25 05:45:00,2020-03-25 06:00:00,https://mckinsey.zoom.us/j/910746074,2020-03-25,05:45:00
106,106,[Call] Natural gas generation capex & maintenance spend,2020-03-25 07:30:00,2020-03-25 08:00:00,https://mckinsey.zoom.us/j/812173684,2020-03-25,07:30:00
107,107,Cara + Kevin connect,2020-03-25 09:00:00,2020-03-25 09:30:00,Cara to call Kevin @ Mobile +1 646-662-8035 ,2020-03-25,09:00:00
108,108,[WEP] Mid-day touch-point,2020-03-25 09:30:00,2020-03-25 09:45:00,https://mckinsey.zoom.us/j/315583909,2020-03-25,09:30:00
109,109,[WEP] Afternoon Check-point,2020-03-25 13:00:00,2020-03-25 13:30:00,https://mckinsey.zoom.us/j/193395080,2020-03-25,13:00:00
110,110,[WEP] Check-out,2020-03-25 15:00:00,2020-03-25 15:30:00,https://mckinsey.zoom.us/j/512767686,2020-03-25,15:00:00
111,111,[WEP] Check-in,2020-03-26 05:45:00,2020-03-26 06:00:00,https://mckinsey.zoom.us/j/910746074,2020-03-26,05:45:00
112,112,"[EXT]Invitation: AlphaCall with (Harold Barber) - Republic Services, Forme... @ Thu Mar 26, 2020 9am - 10am (CDT) (kevin_zhang@mckinsey.com)",2020-03-26 07:00:00,2020-03-26 08:00:00,"+1 212-231-2222 Enter code: 215 5859# (When using an iPhone, click: +12122312222,,2155859#)",2020-03-26,07:00:00
113,113,cc: w/ Kevin & Ojas re: Macy's staffing ,2020-03-26 10:00:00,2020-03-26 10:15:00,Kevin to call Ojas on mobile +1-646-203-6095,2020-03-26,10:00:00
114,114,[WEP] Mid-day touch-point,2020-03-26 10:30:00,2020-03-26 10:45:00,https://mckinsey.zoom.us/j/315583909,2020-03-26,10:30:00
115,115,[WEP] Afternoon Check-point,2020-03-26 13:00:00,2020-03-26 13:30:00,https://mckinsey.zoom.us/j/193395080,2020-03-26,13:00:00
116,116,[WEP] Check-out,2020-03-26 15:00:00,2020-03-26 15:30:00,https://mckinsey.zoom.us/j/512767686,2020-03-26,15:00:00
117,117,"Connect re Staffing (Kevin Zhang, Steven Begley)",2020-03-26 15:45:00,2020-03-26 16:00:00,Kevin calls Steven: +1 973 333 1271,2020-03-26,15:45:00
118,118,Canceled: Canceled: NEO TMT Breakfast,2020-03-27 05:30:00,2020-03-27 07:00:00,"NYO: Floor 62, Room N209 or join by dial in",2020-03-27,05:30:00
119,119,[WEP] Check-in,2020-03-27 05:45:00,2020-03-27 06:00:00,https://mckinsey.zoom.us/j/910746074,2020-03-27,05:45:00
120,120,[WEP] Mid-day touch-point,2020-03-27 09:30:00,2020-03-27 09:45:00,https://mckinsey.zoom.us/j/315583909,2020-03-27,09:30:00
121,121,TMT L1 WebEx #3: Introduction to Fuel GSL - Americas ,2020-03-27 10:30:00,2020-03-27 11:30:00,see below for WebEx and dial in details,2020-03-27,10:30:00
122,122,Team connect,2020-03-27 11:30:00,2020-03-27 12:00:00,https://mckinsey.zoom.us/j/9433470979,2020-03-27,11:30:00
123,123,[WEP] Afternoon Check-point,2020-03-27 13:00:00,2020-03-27 13:30:00,https://mckinsey.zoom.us/j/193395080,2020-03-27,13:00:00
124,124,[WEP] Check-out,2020-03-27 15:00:00,2020-03-27 15:30:00,https://mckinsey.zoom.us/j/512767686,2020-03-27,15:00:00
125,125,[EXT]Project Kickstart,2020-03-30 05:00:00,2020-03-30 06:00:00,Microsoft Teams Meeting,2020-03-30,05:00:00
126,126,"Team kick-off (w/Ojas, Steve, Rafa, Lizzy, Kevin)",2020-03-30 06:30:00,2020-03-30 07:00:00,https://mckinsey.zoom.us/j/9433470979,2020-03-30,06:30:00
127,127,13 Week Cash Forecast Overview,2020-03-30 08:30:00,2020-03-30 09:30:00,"Teams / +1 470-440-6720, Conference ID: 194 872 664# ",2020-03-30,08:30:00
128,128,Three statement model walk through ,2020-03-30 10:00:00,2020-03-30 11:00:00,https://mckinsey.zoom.us/j/9433470979,2020-03-30,10:00:00
129,129,PS: Divide and conquer,2020-03-30 12:00:00,2020-03-30 12:30:00,https://mckinsey.zoom.us/j/9433470979,2020-03-30,12:00:00
130,130,"NY8954: Reservation Confirmation 2003-1112483 with deadline  31-Mar-2020, 08:00 EST",2020-03-30 20:00:00,2020-03-30 20:30:00,,2020-03-30,20:00:00
131,131,[EXT]Project Kickstart,2020-03-31 05:00:00,2020-03-31 06:00:00,Microsoft Teams Meeting,2020-03-31,05:00:00
132,132,Daily check-in,2020-03-31 06:00:00,2020-03-31 06:30:00,https://mckinsey.zoom.us/j/9433470979,2020-03-31,06:00:00
133,133,Call: Data request for 3 Statement Model,2020-03-31 07:00:00,2020-03-31 07:30:00,"https://mckinsey.zoom.us/j/9433470979  //   +16465189805,,9433470979# ",2020-03-31,07:00:00
134,134,Model daily PS (w/Steve; Ojas optional first 30min) ,2020-03-31 08:00:00,2020-03-31 09:00:00,https://mckinsey.zoom.us/j/9433470979,2020-03-31,08:00:00
135,135,Briefing on Parade,2020-03-31 12:00:00,2020-03-31 12:15:00,https://mckinsey.zoom.us/j/3495150446,2020-03-31,12:00:00
136,136,Project Parade Follow-Up - 13 Week Model,2020-03-31 13:00:00,2020-03-31 13:45:00,"+1 470-440-6720, Conference ID: 727 256 414# ",2020-03-31,13:00:00
137,137,[EXT]Treas / Planning Data Call,2020-03-31 14:30:00,2020-03-31 15:00:00,Microsoft Teams Meeting,2020-03-31,14:30:00
138,138,"NY8954: Reservation Confirmation 2003-28316 with deadline  1-Apr-2020, 08:00",2020-03-31 20:00:00,2020-03-31 20:30:00,,2020-03-31,20:00:00
139,139,[EXT]Project Kickstart,2020-04-01 05:00:00,2020-04-01 06:00:00,Microsoft Teams Meeting,2020-04-01,05:00:00
140,140,Daily check-in,2020-04-01 06:00:00,2020-04-01 06:30:00,https://mckinsey.zoom.us/j/9433470979,2020-04-01,06:00:00
141,141,Call: Capex projections (w/Stephanie Schumacher),2020-04-01 07:00:00,2020-04-01 07:30:00,https://mckinsey.zoom.us/j/9433470979,2020-04-01,07:00:00
142,142,Call: Revenue projections (w/Drew Spata),2020-04-01 07:30:00,2020-04-01 08:00:00,https://mckinsey.zoom.us/j/9433470979,2020-04-01,07:30:00
143,143,[EXT]Cash Flow - working group to convert ROF to direct cash flow,2020-04-01 08:00:00,2020-04-01 09:30:00,Microsoft Teams Meeting,2020-04-01,08:00:00
144,144,PS: Follow-up questions on 3 statement model,2020-04-01 09:30:00,2020-04-01 10:30:00,https://mckinsey.zoom.us/j/3495150446,2020-04-01,09:30:00
145,145,Model daily PS (w/Steve) ,2020-04-01 11:30:00,2020-04-01 12:00:00,https://mckinsey.zoom.us/j/9433470979,2020-04-01,11:30:00
146,146,Proper team learning :),2020-04-01 14:00:00,2020-04-01 14:45:00,https://mckinsey.zoom.us/j/9433470979,2020-04-01,14:00:00
147,147,Buy groceries / Free time for the team,2020-04-01 15:00:00,2020-04-01 16:00:00,Anwyhere in the world!,2020-04-01,15:00:00
148,148,"NY8954: Reservation Confirmation 2003-28314 with deadline  2-Apr-2020, 08:00",2020-04-01 20:00:00,2020-04-01 20:30:00,,2020-04-01,20:00:00
149,149,[EXT]Project Kickstart,2020-04-02 05:00:00,2020-04-02 06:00:00,Microsoft Teams Meeting,2020-04-02,05:00:00
150,150,Daily check-in,2020-04-02 06:00:00,2020-04-02 06:30:00,https://mckinsey.zoom.us/j/9433470979,2020-04-02,06:00:00
151,151,"Model daily PS (w/Steve, Ojas)",2020-04-02 09:30:00,2020-04-02 10:00:00,https://mckinsey.zoom.us/j/9433470979,2020-04-02,09:30:00
152,152,[EXT]Daily Cash Call - Update,2020-04-02 11:00:00,2020-04-02 11:30:00,Microsoft Teams Meeting,2020-04-02,11:00:00
153,153,Call: SG&A projections (w/Jennifer Murphy),2020-04-02 11:30:00,2020-04-02 12:00:00,https://mckinsey.zoom.us/j/9433470979,2020-04-02,11:30:00
154,154,Connect RE: merch projections,2020-04-02 15:00:00,2020-04-02 15:30:00,https://mckinsey.zoom.us/j/3495150446,2020-04-02,15:00:00
155,155,"NY8954: Reservation Confirmation 2003-28315 with deadline  3-Apr-2020, 08:00",2020-04-02 20:00:00,2020-04-02 20:30:00,,2020-04-02,20:00:00
156,156,Daily check-in,2020-04-03 06:00:00,2020-04-03 06:30:00,https://mckinsey.zoom.us/j/9433470979,2020-04-03,06:00:00
157,157,"Model daily PS (w/Ojas, Steve)",2020-04-03 07:30:00,2020-04-03 08:00:00,https://mckinsey.zoom.us/j/9433470979,2020-04-03,07:30:00
158,158,Call: Three Statement Model walk through,2020-04-03 09:00:00,2020-04-03 10:00:00,https://mckinsey.zoom.us/j/9433470979,2020-04-03,09:00:00
159,159,[EXT]Daily Cash Call - Update,2020-04-03 11:00:00,2020-04-03 11:30:00,Microsoft Teams Meeting,2020-04-03,11:00:00
160,160,Call: Tax Projections,2020-04-03 12:00:00,2020-04-03 12:30:00,https://mckinsey.zoom.us/j/3495150446,2020-04-03,12:00:00
161,161,PS: Plan for next week,2020-04-03 13:00:00,2020-04-03 14:00:00,https://mckinsey.zoom.us/j/9433470979,2020-04-03,13:00:00
162,162,[EXT]Project Kickstart,2020-04-06 05:00:00,2020-04-06 06:00:00,Microsoft Teams Meeting,2020-04-06,05:00:00
163,163,Daily check-in,2020-04-06 06:00:00,2020-04-06 06:30:00,https://mckinsey.zoom.us/j/9433470979,2020-04-06,06:00:00
164,164,Call: PS three statement model financing needs,2020-04-06 07:30:00,2020-04-06 08:00:00,https://mckinsey.zoom.us/j/9433470979,2020-04-06,07:30:00
165,165,PS - Three Statement Model (w/Ojas; Steve optional),2020-04-06 08:00:00,2020-04-06 08:30:00,https://mckinsey.zoom.us/j/9433470979,2020-04-06,08:00:00
166,166,Call: PS cash weekly model in new scenarios (w/Steph),2020-04-06 09:30:00,2020-04-06 10:30:00,https://mckinsey.zoom.us/j/9433470979,2020-04-06,09:30:00
167,167,[EXT]Daily Cash Call - Update,2020-04-06 11:00:00,2020-04-06 11:30:00,Microsoft Teams Meeting,2020-04-06,11:00:00
168,168,PS - Three statement model (w/Steve),2020-04-06 11:30:00,2020-04-06 12:00:00,https://mckinsey.zoom.us/j/9433470979,2020-04-06,11:30:00
169,169,[Call] PS: Forecasting,2020-04-06 13:00:00,2020-04-06 13:30:00,https://mckinsey.zoom.us/j/3495150446,2020-04-06,13:00:00
